Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Plot location,Archive locaion,Flux Density (mJy),Flux Density Uncertainty (mJy),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J0450-1248,1257010784,0.4380141493906399,37.041,37.040,16.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257010784/1257010784_J0450-1248.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257010784/1257010784_J0450-1248.prepfold.ps,,46.957,11.787,13.318271183682775,2.7185807213363113,,,,,,,,
J0450-1248,1259427304,0.4380141493906399,37.041,37.040,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0450-1248.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0450-1248.prepfold.ps,,64.741,6.532,23.765373722849038,1.672125860099438,,,,,,,,
J0452-1759,1255197408,0.5489392232937018,39.903,39.903,366.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255197408/1255197408_J0452-1759.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255197408/1255197408_J0452-1759.prepfold.ps,,420.777,91.043,194.37278725275627,45.81410531485137,,,,,,,,
J0452-1759,1257010784,0.5489392232937018,39.903,39.903,166.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257010784/1257010784_J0452-1759.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257010784/1257010784_J0452-1759.prepfold.ps,,186.082,14.375,37.02028886907244,2.604738435348552,,,,,,,,
J0452-1759,1259427304,0.5489392232937018,39.903,39.903,125.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0452-1759.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0452-1759.prepfold.ps,,181.643,13.738,34.105689449096154,2.399667935771787,,,,,,,,
J0459-0210,1255197408,1.1330761236588236,21.02,21.020,67.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255197408/1255197408_J0459-0210.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255197408/1255197408_J0459-0210.prepfold.ps,,62.202,18.853,73.8163332548804,17.398676602283995,,,,,,,,
J0459-0210,1256407632,1.1330761236588236,21.02,21.020,92.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1256407632/1256407632_J0459-0210.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1256407632/1256407632_J0459-0210.prepfold.ps,,68.227,21.846,81.54649742519587,19.22069377045578,,,,,,,,
J0459-0210,1259427304,1.1330761236588236,21.02,21.020,28.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0459-0210.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0459-0210.prepfold.ps,,37.395,6.981,20.433219712008615,2.0433219712008617,,,,,,,,
J0514-4408,1257617424,0.3202708224090367,15.122,15.122,33.5,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257617424/1257617424_J0514-4408.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257617424/1257617424_J0514-4408.prepfold.ps,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0514-4408/1257617424_J0514-4408_archive.ar,90.452,7.616,13.173717743208204,1.3173717743208204,,,,,,,,
J0520-2553,1257010784,0.2416421756731351,33.77,33.770,17.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257010784/1257010784_J0520-2553.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257010784/1257010784_J0520-2553.prepfold.ps,,17.673,5.423,20.467814605194057,4.177975161050881,,,,,,,,
