Pulsar,ObservationID,ATNF Period (s),ATNF DM,Offset (degrees),Flux Density (mJy),Flux Density Uncertainty (mJy),Flux Density Scintilation Uncertainty (mJy),Estimated Flux Density (mJy),Estimated Flux Density Uncertainty (mJy)
J1034-3224,1268321832,1.150590428417123,50.75,14.898434607863825,73.031,6.816,30.002831139577612,2.043751975586097,4.023083271755829
J1041-1942,1268321832,1.3863680745875944,33.777,14.55835786615208,48.982,6.725,24.664007727713937,307.04223177682246,123.98606169180128
J1057-5226,1267459328,0.19711468957450884,29.69,4.4565378189066305,227.685,17.822397425711276,85.33616297139622,327.2710609278811,30.15041773831968
J1059-5742,1301240224,1.1850026197912604,108.7,17.49302303762842,48.04600000000001,12.261867924586369,14.932838095109425,304.52989831572876,142.2561914050672
J1112-6926,1301240224,0.8204876424180775,148.4,7.509588591142303,37.452,7.6770000000000005,11.86685279666719,53.01838309575472,21.42775003786782
J1116-4122,1267459328,0.943157882843,40.53,13.565548009594472,77.92399999999999,45.30585712686606,52.60837984832397,174.09700947538258,12.768000450887806
J1121-5444,1267459328,0.5357865139154964,204.7,0.3099391919961248,78.62899999999999,8.793,18.549321984512233,198.83286045912288,32.07820338033029
J1123-4844,1267459328,0.244838478401,92.915,6.163578551350384,16.214000000000002,5.386,7.269279202198052,20.004295728147817,12.45011505091485
J1123-6651,1301240224,0.232976432603,111.196,8.281476339416246,34.46,10.382901569407274,12.587077428883475,79.60747954300521,92.4548411210787
J1136+1551,1268063336,1.1879130659363586,4.84066,14.14203134294142,318.051,36.891,385.7361187140678,827.3328537373803,92.2592661691009
J1136-5525,1267459328,0.3647132491660833,85.111,1.9144827446430304,33.8,6.08,12.224597615145639,166.86362007636677,97.03378180227539
J1141-6545,1301240224,0.3938988148377834,116.08,8.056123017852034,38.8495,11.416336540239167,16.83669948628604,89.78792471631733,23.41165240312131
J1146-6030,1267459328,0.27337450864355883,111.68,6.393639634555383,24.112,6.143,9.059496515151647,112.28764809273167,45.96098546051572
J1202-5820,1301240224,0.4528030975369004,145.41,14.088372593703992,103.82,13.363887645442102,23.147075882809215,236.17957839601013,149.38003422587377
J1224-6407,1301240224,0.21647979787011595,97.686,7.918905176806142,71.622,11.751200108925046,21.039033178895508,219.3406967396615,58.26937546468875
J1225-5556,1267459328,1.018452868182,125.835,8.92356664331483,14.763,5.5889999999999995,6.789279462660868,,
J1239-6832,1301240224,1.3019225299692834,94.3,3.3918656518001358,25.543000000000003,6.692,10.154567011801635,33.54896901444469,8.296168899735788
J1240-4124,1301412552,0.51224209318,44.1,1.1245611160438402,27.691000000000003,12.05981790907309,14.806527816577582,,
J1257-1027,1300809400,0.6173076699954868,29.634,4.9760075505141055,29.214000000000002,9.212,17.645980922168032,64.1747166742307,16.82350182564693
J1300+1240,1301847296,0.00621853194840048,10.1655,15.622536313102511,38.4175,13.529756575785095,24.926138642101392,10.957737030582042,3.107232588943792
